calcAzimuth,gesture,stepLength,timeMillis
93.733696,8,0.65,1556869578910
93.733696,8,0.65,1556869579560
93.733696,8,0.65,1556869580170
93.733696,8,0.65,1556869580870
93.733696,0,0.65,1556869582050
93.733696,0,0.65,1556869583310
93.733696,0,0.65,1556869584030
93.733696,0,0.65,1556869585260
93.733696,8,0.65,1556869585890
93.733696,8,0.65,1556869586520
93.733696,8,0.65,1556869587190
93.733696,8,0.65,1556869587780
93.733696,8,0.65,1556869588480
93.733696,8,0.65,1556869589040
93.733696,8,0.65,1556869590330
93.733696,8,0.65,1556869590980
93.733696,8,0.65,1556869591630
93.733696,8,0.65,1556869592250
93.733696,8,0.65,1556869592880
93.733696,8,0.65,1556869593510
93.733696,0,0.65,1556869594150
93.733696,0,0.65,1556869594760
93.733696,0,0.65,1556869595380
93.733696,0,0.65,1556869596000
93.733696,0,0.65,1556869596660
36.758938,0,0.65,1556869597310
65.246315,0,0.65,1556869597930
10.967312,0,0.65,1556869598690
38.106815,0,0.65,1556869599230
24.537064,0,0.65,1556869599850
31.32194,0,0.65,1556869600490
27.9295,0,0.65,1556869601130
29.625721,8,0.65,1556869601770
28.77761,8,0.65,1556869602410
29.201666,8,0.65,1556869603110
28.989637,8,0.65,1556869603710
29.095652,8,0.65,1556869604350
29.042645,8,0.65,1556869604950
29.069149,8,0.65,1556869605600
