# timeMillis,nanoTime,magnet_x,magnet_y,magnet_z,location_x,location_y,bearing
1532327888879,245119955769406,-34.02000000,-42.54000000,-42.71999700,7.670,21.100,0.00000000
1532327888901,245119975769406,-34.26000000,-42.23999800,-42.42000000,7.670,21.100,0.00000000
1532327888918,245119995769406,-34.20000000,-42.66000000,-42.30000000,7.670,21.100,0.00000000
1532327888937,245120015769406,-34.73999800,-42.30000000,-42.05999800,7.670,21.100,0.00000000
1532327888961,245120035769406,-34.55999800,-42.36000000,-42.48000000,7.670,21.100,0.00000000
1532327888981,245120055769406,-34.68000000,-42.78000000,-42.71999700,7.670,21.100,0.00000000
1532327888997,245120075769406,-34.68000000,-42.54000000,-42.89999800,7.670,21.100,0.00000000
1532327889021,245120095769406,-34.32000000,-42.42000000,-42.60000000,7.670,21.100,0.00000000
1532327889037,245120115769406,-34.98000000,-42.66000000,-41.64000000,7.670,21.100,0.00000000
1532327889060,245120135769439,-34.92000000,-42.42000000,-41.64000000,7.670,21.100,0.00000000
1532327889079,245120155769405,-34.32000000,-41.76000000,-41.21999700,7.670,21.100,0.00000000
1532327889097,245120175769405,-34.38000000,-42.12000000,-41.34000000,7.670,21.100,0.00000000
1532327889116,245120195769405,-33.89999800,-41.87999700,-41.52000000,7.670,21.100,0.00000000
1532327889140,245120215769405,-34.07999800,-41.70000000,-41.21999700,7.670,21.100,0.00000000
1532327889160,245120235769405,-34.38000000,-41.94000000,-41.46000000,7.670,21.100,0.00000000
1532327889178,245120255769405,-34.62000000,-41.87999700,-41.70000000,7.670,21.100,0.00000000
1532327889199,245120275769405,-34.92000000,-42.12000000,-42.23999800,7.670,21.100,0.00000000
1532327889329,245120295769405,-34.55999800,-42.36000000,-42.05999800,7.670,21.100,0.00000000
1532327889329,245120315769405,-34.55999800,-42.78000000,-42.05999800,7.670,21.100,0.00000000
1532327889329,245120335769405,-34.07999800,-43.07999800,-42.05999800,7.670,21.100,0.00000000
1532327889329,245120355769405,-33.78000000,-43.20000000,-41.34000000,7.670,21.100,0.00000000
1532327889329,245120375769405,-33.48000000,-43.73999800,-41.82000000,7.670,21.100,0.00000000
1532327889330,245120395769405,-33.30000000,-43.80000000,-41.46000000,7.670,21.100,0.00000000
1532327889336,245120415769405,-33.12000000,-43.92000000,-41.28000000,7.670,21.100,0.00000000
1532327889357,245120435769405,-33.36000000,-44.10000000,-41.39999800,7.670,21.100,0.00000000
1532327889378,245120455769405,-34.02000000,-43.55999800,-40.98000000,7.670,21.100,0.00000000
1532327889397,245120475769405,-34.14000000,-43.62000000,-40.73999800,7.670,21.100,0.00000000
1532327889416,245120495769405,-34.73999800,-43.73999800,-40.55999800,7.670,21.100,0.00000000
1532327889439,245120515769405,-34.73999800,-43.68000000,-40.86000000,7.670,21.100,0.00000000
1532327889457,245120535769405,-34.44000000,-44.10000000,-41.16000000,7.670,21.100,0.00000000
1532327889476,245120555769438,-34.32000000,-43.98000000,-41.34000000,7.670,21.100,0.00000000
1532327889499,245120575769438,-33.96000000,-43.55999800,-41.39999800,7.670,21.100,0.00000000
1532327889516,245120595769438,-33.60000000,-43.44000000,-41.39999800,7.670,21.100,0.00000000
1532327889536,245120615769438,-33.48000000,-43.32000000,-41.28000000,7.670,21.100,0.00000000
1532327889560,245120635769471,-33.18000000,-43.26000000,-41.21999700,7.670,21.100,0.00000000
1532327889577,245120655769471,-33.48000000,-43.62000000,-41.34000000,7.670,21.100,0.00000000
1532327889597,245120675769471,-34.14000000,-43.86000000,-41.87999700,7.670,21.100,0.00000000
1532327889618,245120695769471,-34.44000000,-43.80000000,-42.12000000,7.682,21.100,0.00000000
1532327889636,245120715769471,-34.68000000,-43.62000000,-42.66000000,7.699,21.100,0.00000000
1532327889657,245120735769437,-34.38000000,-43.73999800,-42.71999700,7.719,21.100,0.00000000
1532327889679,245120755769437,-33.71999700,-43.50000000,-42.18000000,7.741,21.100,0.00000000
1532327889696,245120775769437,-33.36000000,-43.20000000,-41.76000000,7.757,21.100,0.00000000
1532327889717,245120795769437,-33.48000000,-42.96000000,-41.39999800,7.778,21.100,0.00000000
1532327889738,245120815769437,-33.00000000,-42.71999700,-41.39999800,7.798,21.100,0.00000000
1532327889757,245120835769437,-33.23999800,-42.48000000,-41.64000000,7.817,21.100,0.00000000
1532327889776,245120855769437,-33.36000000,-42.96000000,-42.48000000,7.835,21.100,0.00000000
1532327889798,245120875769437,-33.30000000,-43.20000000,-43.02000000,7.856,21.100,0.00000000
1532327889817,245120895769437,-33.60000000,-43.26000000,-43.44000000,7.875,21.100,0.00000000
1532327889836,245120915769437,-33.23999800,-43.37999700,-43.32000000,7.893,21.100,0.00000000
1532327889859,245120935769437,-33.30000000,-42.78000000,-42.96000000,7.916,21.100,0.00000000
1532327889876,245120955769437,-33.18000000,-42.96000000,-42.89999800,7.932,21.100,0.00000000
1532327889897,245120975769437,-32.94000000,-42.60000000,-42.42000000,7.952,21.100,0.00000000
1532327889918,245120995769437,-32.94000000,-42.36000000,-42.84000000,7.973,21.100,0.00000000
1532327889936,245121015769437,-32.16000000,-42.71999700,-42.71999700,7.990,21.100,0.00000000
1532327889957,245121035769437,-32.21999700,-42.66000000,-42.66000000,8.011,21.100,0.00000000
1532327889978,245121055769470,-32.34000000,-42.71999700,-42.89999800,8.031,21.100,0.00000000
1532327889997,245121075769470,-32.46000000,-42.84000000,-42.60000000,8.049,21.100,0.00000000
1532327890016,245121095769470,-33.12000000,-42.66000000,-42.96000000,8.068,21.100,0.00000000
1532327890038,245121115769470,-32.82000000,-42.48000000,-42.78000000,8.089,21.100,0.00000000
1532327890057,245121135769470,-32.94000000,-42.48000000,-43.02000000,8.108,21.100,0.00000000
1532327890076,245121155769436,-33.36000000,-42.18000000,-43.20000000,8.126,21.100,0.00000000
1532327890098,245121175769436,-33.66000000,-42.23999800,-42.84000000,8.147,21.100,0.00000000
1532327890117,245121195769436,-34.02000000,-42.12000000,-43.26000000,8.166,21.100,0.00000000
1532327890138,245121215769436,-33.89999800,-42.12000000,-43.14000000,8.186,21.100,0.00000000
1532327890159,245121235769402,-33.60000000,-42.18000000,-43.02000000,8.207,21.100,0.00000000
1532327890180,245121255769402,-33.42000000,-41.82000000,-43.32000000,8.227,21.100,0.00000000
1532327890199,245121275769402,-33.36000000,-41.76000000,-43.20000000,8.245,21.100,0.00000000
1532327890287,245121295769402,-33.96000000,-41.28000000,-43.55999800,8.331,21.100,0.00000000
1532327890287,245121315769402,-34.02000000,-41.04000000,-43.73999800,8.331,21.100,0.00000000
1532327890287,245121335769402,-33.78000000,-41.39999800,-43.62000000,8.331,21.100,0.00000000
1532327890287,245121355769402,-33.89999800,-40.98000000,-43.50000000,8.331,21.100,0.00000000
1532327890297,245121375769402,-33.36000000,-41.21999700,-43.73999800,8.341,21.100,0.00000000
1532327890316,245121395769402,-33.54000000,-41.57999800,-43.73999800,8.359,21.100,0.00000000
1532327890339,245121415769435,-33.78000000,-41.57999800,-43.92000000,8.381,21.100,0.00000000
1532327890357,245121435769435,-33.84000000,-41.94000000,-43.98000000,8.399,21.100,0.00000000
1532327890377,245121455769435,-34.14000000,-42.23999800,-43.50000000,8.418,21.100,0.00000000
1532327890400,245121475769435,-34.07999800,-42.12000000,-43.20000000,8.441,21.100,0.00000000
1532327890417,245121495769435,-34.07999800,-42.54000000,-43.32000000,8.457,21.100,0.00000000
1532327890437,245121515769435,-34.02000000,-43.02000000,-43.44000000,8.476,21.100,0.00000000
1532327890461,245121535769435,-33.84000000,-43.37999700,-43.32000000,8.500,21.100,0.00000000
1532327890477,245121555769435,-33.71999700,-43.80000000,-43.50000000,8.515,21.100,0.00000000
1532327890496,245121575769435,-33.54000000,-43.86000000,-43.37999700,8.534,21.100,0.00000000
1532327890519,245121595769435,-33.42000000,-43.86000000,-42.84000000,8.556,21.100,0.00000000
1532327890537,245121615769435,-33.36000000,-44.04000000,-42.89999800,8.574,21.100,0.00000000
