gt_x,gt_y,mag_x,mag_y,mag_z,roll,pitch,yaw
55.54,20.13,3.84941,-12.9454,-43.5073,-0.281397,-0.0139516,-3.06636
54.94,20.13,6.9715,-13.38,-44.5691,-0.279449,-0.0106493,-3.06162
54.34,20.13,12.9435,-10.2997,-44.1223,-0.303598,-0.0136956,3.10991
53.76,20.19,13.4403,-13.3803,-45.2095,-0.298013,0.0687716,-3.06196
53.16,20.2,15.847,-11.6289,-48.664,-0.352233,0.0500333,-3.0704
52.56,20.22,15.0322,-13.3213,-47.7007,-0.346468,0.0528793,-3.04381
51.95,20.2,10.937,-12.2466,-48.8966,-0.315682,0.0554794,-3.08278
51.35,20.21,7.08,-16.6701,-47.1431,-0.388142,0.0472039,-3.0401
50.75,20.18,9.36816,-12.1812,-42.9,-0.345513,-0.0129898,-3.09757
50.15,20.17,5.71134,-12.2469,-41.3643,-0.370068,0.0496303,-3.03396
49.55,20.16,9.71433,-6.18567,-38.0321,-0.345729,-0.0187073,-3.12451
48.96,20.18,7.18672,-11.1004,-38.5067,-0.425464,0.00769472,-3.05657
48.36,20.18,10.5471,-6.13288,-38.1519,-0.346603,-0.0281056,-3.12583
47.76,20.21,6.48392,-11.8278,-41.3883,-0.400849,0.0361223,-3.04143
47.15,20.21,4.29067,-11.2227,-42.4561,-0.412687,0.0398866,3.1372
46.56,20.26,0.970983,-15.742,-46.8245,-0.342164,0.0319441,-3.08192
45.94,20.28,2.15206,-20.3799,-45.632,-0.314817,0.0517837,-3.05097
45.32,20.27,11.2622,-17.7617,-43.5009,-0.293249,0.0599409,-3.11031
44.69,20.31,22.3492,-9.69232,-38.1015,-0.279502,0.050416,-3.06079
44.06,20.31,23.4544,0.100098,-35.6915,-0.309688,0.0476641,-3.11675
43.42,20.34,16.7025,1.28247,-38.5612,-0.312389,0.0445758,-3.04182
42.78,20.33,15.0713,6.97129,-41.7098,-0.299874,0.0276067,-3.07232
42.15,20.32,11.135,3.78,-46.2887,-0.318259,0.044841,-3.02948
41.51,20.29,8.59299,-1.38,-42.847,-0.314344,0.0741593,-3.06414
40.87,20.29,4.66683,-6.18021,-35.2265,-0.307713,0.105543,-3.08446
40.21,20.3,6.13537,-6.47539,-28.1308,-0.334376,0.0698431,-3.12962
39.57,20.33,8.55085,-10.3783,-24.3437,-0.370162,0.101952,-3.06131
38.93,20.33,10.1578,-4.72574,-28.9604,-0.337829,0.080025,3.13742
38.29,20.36,4.9282,-9.79641,-35.9359,-0.313323,0.0905423,-3.02799
37.64,20.32,4.24342,-12.3836,-38.753,-0.357295,0.077321,-3.13509
37,20.34,-1.98,-17.1942,-41.5203,-0.317904,0.102466,-3.0599
36.34,20.32,-2.48226,-14.2529,-42.3087,-0.308193,0.0824732,-3.13808
35.69,20.34,-5.82847,-11.4703,-39.2231,-0.342939,0.057221,-3.10663
35.05,20.33,-6.27217,-1.23755,-38.7352,-0.343368,0.053305,-3.10284
34.4,20.32,-5.75505,3.97059,-42.2449,-0.332644,0.0574952,-3.08174
33.77,20.3,-4.76673,4.5998,-46.8,-0.336977,0.0296978,-3.13579
33.13,20.3,-3.76095,-0.71365,-53.6273,-0.337869,0.0947721,-3.06434
32.49,20.28,-2.02027,-0.953601,-55.1589,-0.319894,0.064875,-3.13504
31.85,20.29,0.293467,-9.26837,-55.4814,-0.349158,0.0787312,-3.06633
31.21,20.27,-0.894773,-9.00523,-53.0505,-0.347624,0.174845,3.12995
30.57,20.32,8.80073,-10.5721,-45.3914,-0.316296,0.0209486,-3.0472
29.93,20.28,12.9451,-10.4257,-40.0812,-0.374591,0.0158931,3.12945
29.29,20.3,10.5489,-12.5511,-36.5178,-0.370283,0.0498359,-3.08375
28.65,20.29,8.44628,-11.3609,-32.0413,-0.33036,0.0354764,3.09991
28.01,20.33,6.08201,-18.568,-28.5419,-0.418211,0.0603747,-3.13647
27.37,20.37,12.0702,-14.0783,-25.6641,-0.288424,0.0136615,3.05473
26.74,20.44,18.2396,-14.6268,-17.5735,-0.371397,0.0374575,-3.1066
26.1,20.45,18.3936,-1.26642,-16.0798,-0.338473,0.00466754,3.12164
25.45,20.47,16.3313,-0.660597,-16.4774,-0.393869,0.0279498,-3.03839
24.8,20.42,14.7135,7.91065,-19.7839,-0.406126,0.00106273,-3.10243
24.15,20.4,11.8739,11.0154,-25.0154,-0.403925,0.0418848,-3.05642
23.5,20.36,10.3722,15.8635,-37.4948,-0.367898,0.0132441,-3.0912
22.86,20.34,6.42866,8.75165,-46.8943,-0.378528,0.0423941,-3.01162
22.21,20.28,5.26462,5.08462,-52.8446,-0.324668,-0.00951398,-3.1147
21.55,20.27,1.49456,-9.79672,-55.8872,-0.296543,0.0818851,-3.01385
20.89,20.21,7.50138,-9.46074,-53.5117,-0.274626,0.0154062,3.10488
20.23,20.25,8.52179,-14.7921,-48.1919,-0.29786,0.046858,-3.11238
19.56,20.24,10.8806,-8.95457,-44.2127,-0.301687,0.0217777,3.03541
18.9,20.32,8.58,-12.5987,-39.0059,-0.320325,0.0389613,-3.11105
18.23,20.33,7.20207,-12.5154,-34.1928,-0.351753,0.02486,-3.06894
17.57,20.31,6.39306,-10.2755,-33.2359,-0.320993,0.0424061,-3.09576
16.91,20.31,9.94908,-5.91166,-30.3622,-0.319066,-0.00335865,3.06544
16.25,20.38,10.7273,-8.97637,-27.7589,-0.274901,0.0902107,-3.10504
15.59,20.41,18.6311,-2.63364,-22.2155,-0.254379,0.0640967,3.10833
14.93,20.48,21.9611,1.36077,-20.6208,-0.244451,0.066736,-3.11836
14.27,20.5,27.9529,15.0314,-19.6433,-0.282558,0.00695705,3.11371
13.61,20.55,32.1478,25.8357,-31.2148,-0.271632,0.0667074,-3.12313
12.95,20.6,30.3946,34.9348,-46.3017,-0.296157,0.0474634,-3.11314
12.29,20.62,24.0121,30.6239,-57.0791,-0.339606,0.0705019,-3.08365
11.63,20.64,19.7598,24.2266,-62.4442,-0.383298,0.0349076,3.13186
10.96,20.69,5.34653,-3.51387,-36.8186,-0.320007,0.0435926,-3.09806
10.3,20.71,-0.727346,-9.59428,-35.842,-0.253747,0.0832035,-3.08857
