loc_x,loc_y,mag_x,mag_y,mag_z
35.6,32.5,-10.34309197,8.359710563,-48.50606056
,,,,
35.6,31.3,-27.81420429,-8.158634571,-27.65196143
,,,,
35.6,30.1,-26.54103286,2.9212952,-48.69954
,,,,
35.6,28.9,-29.86020714,18.50830143,-15.18474
,,,,
35.6,27.7,-23.39028571,-2.651128157,-30.56854714
,,,,
35.6,26.5,-8.369579853,12.39673824,-11.64459059
,,,,
35.6,25.3,-19.85829571,-3.161665429,-25.90077
,,,,
35.6,24.1,-13.34051594,0.611810836,-41.75607391
,,,,
35.6,22.9,-17.07532571,-1.034698341,7.943682286
,,,,
35.6,21.7,-15.83498088,1.102290731,-28.20311176
,,,,
35.6,20.5,-37.85287,-9.083642143,14.19572714
,,,,
35.6,19.3,-24.98084143,-11.97001857,-41.86309714
,,,,
35.6,18.1,-28.53640563,17.49110704,-38.64316761
,,,,
35.6,16.9,-12.38151143,23.47246857,-23.15503143
,,,,
35.6,15.7,-9.682471449,-2.106641464,-14.51407101
,,,,
35.6,14.5,-18.77815652,9.750476522,-59.03837971
,,,,
35.6,13.3,-47.30774928,-11.19201812,-13.01689565
,,,,
35.6,12.1,-14.6141,2.301990294,-37.30998529
,,,,
35.6,10.9,-28.56624286,-2.324654757,-56.44875286
,,,,
35.6,9.7,-39.94739571,-0.780682966,-30.62890571
,,,,
36.5,9.7,-39.16144058,0.252101784,-44.76946667
,,,,
36.5,10.9,-25.47176912,-19.96172794,-42.11367353
,,,,
36.5,12.1,-8.581630429,0.76987139,-22.68868571
,,,,
36.5,13.3,-44.40506812,-4.41733087,-3.484178116
,,,,
36.5,14.5,-4.329288857,-3.605564857,-14.15294143
,,,,
36.5,15.7,-17.17540429,6.020573,-38.12696286
,,,,
36.5,16.9,-10.91640522,0.481978713,-28.21987536
,,,,
36.5,18.1,-17.02162857,14.67978286,1.462249634
,,,,
36.5,19.3,-24.26417391,-7.255376812,-33.93125507
,,,,
36.5,20.5,-27.81139565,16.75616377,-33.27404348
,,,,
36.5,21.7,-16.41707857,16.76976143,1.612417871
,,,,
36.5,22.9,-45.10285797,1.179061783,-31.57751014
,,,,
36.5,24.1,-22.51783478,-1.402725117,-44.79392319
,,,,
36.5,25.3,-34.88872429,17.79745857,-30.35267571
,,,,
36.5,26.5,-26.95155714,-15.38018429,-12.51113714
,,,,
36.5,27.7,-33.96772319,2.462636087,-34.32811594
,,,,
36.5,28.9,-8.322917681,-23.73431884,-23.92223913
,,,,
36.5,30.1,-18.48243623,3.483337826,-39.35615942
,,,,
36.5,31.3,-21.84131739,-6.898011594,-39.7119942
,,,,
36.5,32.5,-10.46443686,-14.63738714,-44.66674571
,,,,
36.5,33.7,-13.91243188,-8.501268841,-38.60027246
,,,,
36.5,34.9,-15.79777429,15.15742429,-29.91969714
,,,,
36.5,36.1,-39.56083286,-10.38783443,-12.77632
,,,,
36.5,37.3,-26.33832899,-11.14643899,-27.45455072
,,,,
36.5,38.5,-27.79728714,-6.720014143,1.169085029
,,,,
36.5,39.7,-21.54926087,1.912434812,-43.25875652
,,,,
36.5,40.9,-8.994765,-7.111874559,-11.72810882
,,,,
36.5,42.1,-27.72195143,-7.928553857,-30.8027
,,,,
36.5,43.3,-31.47526143,11.34562943,-40.02786
,,,,
36.5,44.5,-11.10397386,7.872793286,-11.67911429
,,,,
36.5,45.7,-17.73084928,22.2041913,-53.46465362
,,,,
37.4,45.7,-17.11656857,12.16399714,-32.69236857
,,,,
37.4,44.5,-30.36647101,-7.651950725,-51.03586957
,,,,
37.4,43.3,-32.50972143,17.63503857,-31.41825857
,,,,
37.4,42.1,-17.24188143,6.033825857,-34.73283857
,,,,
37.4,40.9,-27.38073714,20.37861714,-28.47827714
,,,,
37.4,39.7,-38.17694638,-12.4860058,-13.76088841
,,,,
37.4,38.5,-30.69399571,13.51401286,-21.29608429
,,,,
37.4,37.3,-39.73335942,-8.223491884,-23.4178
,,,,
37.4,36.1,-36.21643429,-3.020956571,-44.64475143
,,,,
37.4,34.9,-14.35370294,3.594814118,-33.649725
,,,,
37.4,33.7,-21.6759029,15.67069275,-38.22817971
,,,,
37.4,32.5,-26.98568857,-3.032401143,-51.53315571
,,,,
37.4,31.3,-16.80901594,-6.236554058,-27.25181884
,,,,
37.4,30.1,-17.75969714,18.55364571,-53.60465
,,,,
37.4,28.9,-18.27841286,-13.70317429,-18.03180571
,,,,
37.4,27.7,-11.6900642,-7.291622319,2.582649609
,,,,
37.4,26.5,-28.54265429,-12.02721143,-48.23074
,,,,
37.4,25.3,-21.59765441,6.825996765,-51.95814853
,,,,
37.4,24.1,-24.13528,3.973367,-4.974430714
,,,,
37.4,22.9,-29.06100435,20.96334348,-25.58567681
,,,,
37.4,21.7,-14.53388571,-21.26711,-34.37853286
,,,,
37.4,20.5,-32.38593913,1.443680925,-33.31227826
,,,,
37.4,19.3,-23.91440714,20.13519429,-46.16998
,,,,
37.4,18.1,-27.71878286,-6.936492429,-37.45999714
,,,,
37.4,16.9,-28.46683857,-8.064160857,-59.27755571
,,,,
37.4,15.7,-10.75972435,12.46008522,-36.36740725
,,,,
37.4,14.5,-19.35152319,-9.780993768,-45.60168551
,,,,
37.4,13.3,-14.77853913,-4.776642319,3.479092319
,,,,
37.4,12.1,-18.36711286,5.903516,-56.75953714
,,,,
37.4,10.9,-19.24376338,15.12497606,-33.11152676
,,,,
37.4,9.7,-8.787689286,15.89575714,-32.68805143
,,,,
38.3,45.7,-22.40746423,11.44310547,-58.30680876
,,,,
38.3,44.5,-38.37284741,0.599930467,-42.45509556
,,,,
38.3,43.3,-25.08418222,-2.530879289,-60.24051111
,,,,
38.3,42.1,-30.04406716,17.01751194,-63.99834104
,,,,
38.3,40.9,-25.11179559,-3.102212721,-59.74270735
,,,,
38.3,39.7,-24.77076742,-3.955008485,-43.45102197
,,,,
38.3,38.5,-30.56603407,-8.393272074,-47.37404148
,,,,
38.3,37.3,-21.4156125,-6.214927132,-51.51675882
,,,,
38.3,36.1,-22.94717926,-5.448608815,-48.91121333
,,,,
38.3,34.9,-27.60476471,15.15772206,-47.42933897
,,,,
38.3,33.7,-30.17543556,17.54359704,-7.184628963
,,,,
38.3,32.5,-27.68388657,-0.344609454,-60.37006642
,,,,
38.3,31.3,-40.89952482,51.57402336,-41.35991679
,,,,
38.3,30.1,-24.8617763,6.634148667,-61.22632815
,,,,
38.3,28.9,-43.13517273,-14.98992045,-54.92481212
,,,,
38.3,27.7,-20.12570075,4.591587895,-50.55773609
,,,,
38.3,26.5,-21.98130741,23.27201481,-56.08743778
,,,,
38.3,25.3,-21.45120902,7.241660827,-56.20388947
,,,,
38.3,24.1,-32.15109179,11.7371403,-26.39342388
,,,,
38.3,22.9,-37.49232443,11.75169008,-20.55728244
,,,,
38.3,21.7,-13.59483433,-6.492273507,-46.44556866
,,,,
38.3,20.5,-21.85837669,35.03584511,-8.580681955
,,,,
38.3,19.3,-20.29509925,-8.012665263,-58.97782481
,,,,
38.3,18.1,-22.87905735,-5.134571397,-55.63166103
,,,,
38.3,16.9,-39.69767761,-9.822002985,-28.58850149
,,,,
38.3,15.7,-18.96732444,-12.77436222,-44.89223037
,,,,
38.3,14.5,-23.28822388,-5.242942537,-55.19967015
,,,,
38.3,13.3,-29.89837537,-6.763218657,-66.46928209
,,,,
38.3,12.1,-25.38342444,10.64337341,-48.37046444
,,,,
38.3,10.9,-64.6762218,15.33253759,-28.7231797
,,,,
38.3,9.7,-26.0162562,-9.533066715,-50.2482438
,,,,
39.2,9.7,-28.38958881,14.20271343,-38.14799925
,,,,
39.2,10.9,-29.70087557,-1.104444763,-52.40951374
,,,,
39.2,12.1,-34.79338088,-10.12247735,-26.20107059
,,,,
39.2,13.3,-24.13874593,-13.71245185,-34.64945407
,,,,
39.2,14.5,-20.62773556,-8.449899407,-36.31477037
,,,,
39.2,15.7,-20.35585152,-9.88415697,-42.6592447
,,,,
39.2,16.9,-46.99684478,-8.89001,-42.45623806
,,,,
39.2,18.1,-38.98771556,-11.86110911,-36.5636163
,,,,
39.2,19.3,-15.70424924,9.086713864,-66.49145
,,,,
39.2,20.5,-22.60508,-11.60839259,-49.42341111
,,,,
39.2,21.7,-15.91807239,-13.96143731,-58.82734552
,,,,
39.2,22.9,-10.9208247,8.897455597,-59.62831791
,,,,
39.2,24.1,-35.36334963,17.35865704,-30.91888444
,,,,
39.2,25.3,-18.87982794,-4.119625809,-73.68207279
,,,,
39.2,26.5,-25.5005097,-8.821379478,-26.26299776
,,,,
39.2,27.7,-31.11902148,29.08387556,-38.54540741
,,,,
39.2,28.9,-38.81006232,-9.738867899,-42.35350942
,,,,
39.2,30.1,-41.84802707,-16.03070677,-35.31325789
,,,,
39.2,31.3,-31.88645489,-9.937439023,-44.79265113
,,,,
39.2,32.5,-13.62225303,8.648495758,-72.85792273
,,,,
39.2,33.7,-28.69026364,-13.21754773,-40.97947727
,,,,
